iter	Passed	Remaining
788	99888	26712
789	99982	26577
790	100076	26442
791	100160	26304
792	100234	26164
793	100326	26029
794	100402	25889
795	100500	25756
796	100565	25614
797	100683	25486
798	100808	25359
799	100940	25235
800	101030	25099
801	101108	24961
802	101234	24835
803	101300	24695
804	101420	24567
805	101493	24428
806	101679	24317
807	101842	24200
808	101996	24080
809	102157	23962
810	102270	23833
811	102436	23716
812	102574	23593
813	102681	23462
814	102867	23350
815	103029	23232
816	103177	23110
817	103334	22991
818	103486	22870
819	103645	22751
820	103762	22622
821	103902	22499
822	104035	22374
823	104161	22247
824	104245	22112
825	104359	21983
826	104463	21852
827	104559	21720
828	104646	21585
829	104751	21455
830	104856	21324
831	104968	21195
832	105062	21062
833	105165	20932
834	105249	20797
835	105337	20664
836	105438	20533
837	105532	20401
838	105620	20268
839	105717	20136
840	105812	20004
841	105927	19877
842	106035	19748
843	106131	19616
844	106245	19488
845	106322	19354
846	106402	19220
847	106489	19087
848	106578	18955
849	106654	18821
850	106742	18689
851	106829	18557
852	106921	18426
853	106994	18291
854	107087	18161
855	107203	18034
856	107335	17910
857	107468	17786
858	107623	17665
859	107742	17539
860	107900	17419
861	108065	17300
862	108229	17181
863	108359	17056
864	108498	16933
865	108663	16813
866	108812	16692
867	108952	16568
868	109113	16448
869	109345	16339
870	109506	16218
871	109663	16097
872	109797	15972
873	109880	15840
874	109963	15709
875	110061	15579
876	110185	15453
877	110294	15325
878	110414	15199
879	110555	15075
880	110627	14942
881	110737	14815
882	110815	14683
883	110919	14555
884	110990	14422
885	111097	14294
886	111189	14165
887	111282	14035
888	111392	13908
889	111463	13776
890	111588	13651
891	111673	13520
892	111755	13390
893	111836	13260
894	111919	13130
895	112003	13000
896	112090	12870
897	112213	12745
898	112304	12617
899	112409	12489
900	112492	12360
901	112599	12233
902	112723	12108
903	112875	11986
904	113023	11864
905	113179	11742
906	113324	11619
907	113463	11496
908	113589	11371
909	113750	11250
910	113882	11125
911	114044	11004
912	114166	10878
913	114318	10756
914	114442	10631
915	114617	10510
916	114851	10395
917	115031	10275
918	115219	10155
919	115322	10028
920	115447	9902
921	115552	9775
922	115665	9649
923	115775	9522
924	115870	9394
925	115962	9266
926	116076	9140
927	116163	9012
928	116258	8885
929	116358	8758
930	116447	8630
931	116541	8503
932	116637	8375
933	116729	8248
934	116827	8121
935	116920	7994
936	117014	7867
937	117103	7740
938	117201	7613
939	117306	7487
940	117395	7360
941	117530	7236
942	117635	7110
943	117735	6984
944	117838	6858
945	117920	6731
946	118008	6604
947	118094	6477
948	118241	6354
949	118401	6231
950	118575	6109
951	118698	5984
952	118902	5864
953	119086	5742
954	119309	5621
955	119503	5500
956	119763	5381
957	119925	5257
958	120108	5134
959	120262	5010
960	120438	4887
961	120606	4764
962	120704	4637
963	120824	4512
964	120930	4386
965	121009	4259
966	121118	4133
967	121192	4006
968	121297	3880
969	121401	3754
970	121483	3628
971	121571	3502
972	121656	3375
973	121740	3249
974	121815	3123
975	121867	2996
976	121985	2871
977	122091	2746
978	122195	2621
979	122297	2495
980	122402	2370
981	122511	2245
982	122631	2120
983	122738	1995
